respid,female,college,nkids,anykids,university,pexhaust,pbeq,pnhome
6234,1,0.0,0.0,0,0.0,1.0,0.2,0.8
6245,1,0.0,0.0,0,1.0,0.75,0.0,0.8
6249,0,0.0,2.0,1,1.0,1.0,1.0,0.0
6261,0,0.0,3.0,1,1.0,0.5,1.0,0.75
6272,0,0.0,1.0,1,1.0,1.0,0.5,0.5
6277,0,0.0,2.0,1,1.0,0.01,1.0,0.5
6288,1,0.0,1.0,1,1.0,0.2,1.0,0.5
6310,0,0.0,2.0,1,1.0,1.0,0.0,1.0
6318,0,0.0,0.0,0,0.0,,,
6321,0,1.0,2.0,1,0.0,1.0,0.4,0.0
6323,0,0.0,0.0,0,1.0,0.6,1.0,0.1
6330,1,1.0,0.0,0,0.0,0.35,0.35,0.1
6335,0,1.0,2.0,1,0.0,1.0,1.0,1.0
6345,0,1.0,4.0,1,0.0,0.0,1.0,0.0
6348,0,1.0,3.0,1,0.0,0.75,1.0,0.1
6349,0,0.0,2.0,1,1.0,0.75,0.75,0.1
6357,0,0.0,3.0,1,1.0,0.5,,0.05
