respid,wgt,cma,married,own,wealth_total,mort_balance,home_value,share_rrsp
15557,1278.4983244321725,1,1,1,110000.0,0.0,750000.0,0.45454545454545453
15561,4230.715283026676,1,1,1,450000.0,0.0,750000.0,0.4444444444444444
15562,897.8346892314378,7,1,1,650000.0,0.0,975000.0,0.7692307692307693
15569,3922.9483782185284,1,1,1,620000.0,0.0,2000000.0,0.8064516129032258
15591,897.8346892314378,6,1,1,650000.0,0.0,635000.0,0.7692307692307693
15605,897.8346892314378,1,1,1,400000.0,0.0,700000.0,0.75
15612,999.5341708562004,5,1,1,650000.0,0.0,500000.0,0.7692307692307693
15620,999.5341708562004,4,0,1,420000.0,0.0,390000.0,0.9523809523809523
15626,4230.715283026676,1,0,1,335114.2955080978,0.0,1100843.389295334,0.3881943767772694
15633,1278.4983244321725,1,0,1,85000.0,0.0,950000.0,0.29411764705882354
15636,1278.4983244321725,1,0,1,408524.1421811926,0.0,900000.0,0.8185395030958121
15657,1321.982893522959,2,0,1,330000.0,0.0,900000.0,0.7575757575757576
15658,897.8346892314378,1,1,1,260000.0,315000.0,1000000.0,0.19230769230769232
15660,1278.4983244321725,1,1,1,23424.228412841832,0.0,618766.4613460094,0.0
15663,4942.474513256949,1,1,1,260000.0,400000.0,1500000.0,0.9615384615384616
15672,688.7628253365825,5,1,1,530000.0,0.0,1600000.0,0.7547169811320755
15684,688.7628253365825,4,1,1,515840.5595982007,0.0,1000000.0,0.9087356760173116
15697,897.8346892314378,1,1,1,750000.0,0.0,1500000.0,0.6666666666666666
15725,3084.2107633132296,4,1,1,300000.0,0.0,600000.0,1.0
15767,949.5838434120577,3,1,1,275000.0,370000.0,1500000.0,0.9090909090909091
15812,4853.275748785212,8,1,1,600000.0,0.0,1250000.0,0.8333333333333334
15833,4942.474513256949,1,0,1,60100.0,40000.0,700000.0,0.9983361064891847
15835,949.5838434120577,3,1,1,1000000.0,0.0,1500000.0,0.5
15852,1321.982893522959,2,0,1,276000.0,0.0,190000.0,0.7246376811594203
15869,1321.982893522959,2,1,1,360000.0,0.0,1000000.0,0.8888888888888888
15886,897.8346892314378,1,1,1,335000.0,0.0,1500000.0,0.8955223880597015
15901,4230.715283026676,1,1,1,250000.0,0.0,1200000.0,1.0
15911,897.8346892314378,1,0,1,560000.0,0.0,1000000.0,0.8928571428571429
15926,3717.1214505199555,8,1,1,220000.0,0.0,450000.0,0.9090909090909091
15928,949.5838434120577,3,0,1,92000.0,70000.0,650000.0,1.0
15968,897.8346892314378,1,1,1,630000.0,0.0,2000000.0,0.7936507936507936
15970,897.8346892314378,7,1,1,650000.0,0.0,600000.0,0.7692307692307693
15987,949.5838434120577,3,1,1,351654.50739378657,0.0,900000.0,0.7725039824090322
15989,6357.119592832336,4,1,1,650000.0,0.0,600000.0,0.7692307692307693
16002,897.8346892314378,6,1,1,280000.0,0.0,450000.0,0.7142857142857143
16009,8497.513381368772,1,0,1,216000.0,0.0,425000.0,0.8101851851851852
16035,8497.513381368772,1,1,1,410000.0,240000.0,1300000.0,0.8536585365853658
16052,8497.513381368772,1,1,1,25000.0,0.0,931017.4012363062,0.6
16059,1278.4983244321725,1,1,1,560000.0,0.0,1200000.0,0.8928571428571429
16080,1321.982893522959,2,1,1,475536.582424083,0.0,1000000.0,0.5794224726508208
16144,4853.275748785212,8,1,1,470000.0,0.0,650000.0,0.9574468085106383
16168,1278.4983244321725,1,1,1,82200.0,0.0,680000.0,0.5012165450121655
16172,3084.2107633132296,4,1,1,483244.5931498068,64460.70562115137,495000.0,1.0
16179,949.5838434120577,3,1,1,295936.0,0.0,900000.0,0.6899329584775087
16180,949.5838434120577,3,1,1,700000.0,0.0,1400000.0,0.7142857142857143
16186,2341.501344690914,5,1,1,0.0,800000.0,1250000.0,0.0
16191,897.8346892314378,7,1,1,89723.11098816307,225000.0,550000.0,1.0
16206,3084.2107633132296,4,1,1,211000.0,200000.0,550000.0,1.0
16228,580.936724934376,8,1,1,650000.0,0.0,500000.0,0.7692307692307693
16239,580.936724934376,8,1,1,34469.20725764771,50000.0,320000.0,0.709885988231386
16242,580.936724934376,8,1,1,700000.0,0.0,180000.0,0.7142857142857143
16281,897.8346892314378,1,1,1,600000.0,0.0,1100000.0,0.8333333333333334
16283,580.936724934376,8,1,1,200000.0,0.0,750000.0,0.5
16337,949.5838434120577,3,1,1,840000.0,0.0,2000000.0,0.5952380952380952
16349,897.8346892314378,1,1,1,250018.8723414607,0.0,850000.0,0.3641861400925892
16360,897.8346892314378,6,1,1,630000.0,0.0,765000.0,0.7936507936507936
16372,1278.4983244321725,1,1,1,250000.0,0.0,2000000.0,0.4
16384,3922.9483782185284,6,1,1,400000.0,195000.0,370000.0,1.0
16392,1278.4983244321725,1,1,1,700000.0,0.0,800000.0,0.7142857142857143
16413,1666.0411339049424,3,1,1,575000.0,0.0,1600000.0,0.8695652173913043
16455,967.2736886617231,2,1,1,630000.0,0.0,600000.0,0.7936507936507936
16481,688.7628253365825,5,1,1,460000.0,0.0,500000.0,0.6521739130434783
16507,4398.058351676,3,1,1,0.0,0.0,1500000.0,0.0
16514,580.936724934376,8,1,1,94535.32100308573,0.0,445868.0833954939,0.6755333638943587
16564,1278.4983244321725,1,1,1,700000.0,0.0,1600000.0,0.7142857142857143
16590,3922.9483782185284,1,1,1,540000.0,0.0,1600000.0,0.9259259259259259
16598,897.8346892314378,1,1,1,396880.0281783124,0.0,1067086.1202017532,0.6115408317607348
16606,3922.9483782185284,1,1,1,330000.0,0.0,800000.0,0.7878787878787878
16614,3922.9483782185284,1,1,1,578684.6023273774,0.0,847021.1097495018,0.8640285191433806
16644,4230.715283026676,1,1,1,170000.0,0.0,650000.0,0.5882352941176471
16665,897.8346892314378,1,1,1,120000.0,0.0,2000000.0,0.0
16679,1278.4983244321725,1,0,1,460000.0,230000.0,1000000.0,0.8695652173913043
16700,1278.4983244321725,1,1,1,320000.0,429000.0,1500000.0,1.0
16708,897.8346892314378,1,1,1,625000.0,0.0,950000.0,0.8
16710,1278.4983244321725,1,1,1,290000.0,0.0,600000.0,0.8620689655172413
16712,897.8346892314378,1,1,1,505000.0,0.0,700000.0,0.9900990099009901
16724,949.5838434120577,3,0,1,145000.0,0.0,620000.0,0.6896551724137931
16727,897.8346892314378,1,1,1,375000.0,0.0,1200000.0,0.6666666666666666
16730,1278.4983244321725,1,1,1,525000.0,0.0,1300000.0,0.9523809523809523
16749,4942.474513256949,1,1,1,166877.7145329303,0.0,640924.5849074327,1.0
16754,897.8346892314378,1,1,1,902300.0,0.0,650000.0,0.554139421478444
16757,949.5838434120577,3,1,1,600000.0,26000.0,925000.0,0.8333333333333334
16758,897.8346892314378,1,1,1,620000.0,0.0,1300000.0,0.8064516129032258
16782,897.8346892314378,1,1,1,620000.0,0.0,1500000.0,0.8064516129032258
16799,897.8346892314378,1,1,1,1000000.0,0.0,1100000.0,0.5
